d13c,height,name
-3.03,31.9,MS5
-11.3,101.4,
-11.47,107,
-11.99,109,
-11.46,115.2,
-11.32,116.2,
-11.25,117.2,
-11.11,118.2,
-11.15,119.4,
-11.03,120.5,
-11,121.8,
-10.74,123.1,
-10.78,124.1,
-10.59,125.1,
-10.27,127.3,
-10.09,129.9,
-9.98,131,
-10.02,132,
-9.88,134,
-10.04,135.1,
-9.77,136.3,
-9.88,137.4,
-9.87,138.3,
-9.84,139.6,
-9.72,140.9,
-9.61,142,
-9.69,143.1,
-9.58,144.1,
-9.52,145.2,
-9.47,146.3,
-9.44,147.5,
-9.14,148.5,
-9.54,150.4,
-9.51,151.3,
-9.43,152.4,
-9.44,153.4,
-9.43,154.5,
-9.36,155.8,
-9.44,156.8,
-9.26,158.1,
-9.23,159.2,
-9.16,160.4,
-9.32,161.4,
-9.02,162.4,
-9.21,163.7,
-9.15,164.9,
-9.19,166.2,
-9.1,167.4,
-9.04,168.4,
-9.15,169.5,
-9.2,170.7,
-9,171.8,
-8.91,173,
-8.97,174.1,
-8.98,175.2,
-8.83,176.3,
-8.85,177.4,
-8.85,178.6,
-8.77,180.6,
-8.65,181.8,
-8.54,182.9,
-8.89,184,
-8.72,185,
-8.81,186.1,
-8.64,187.8,
-8.81,188.9,
-8.74,190,
-8.53,191.3,
-8.63,192.4,
-8.64,193.5,
-8.51,194.7,
-8.52,195.7,
-8.61,197.8,
-8.43,199.1,
-8.5,200.1,
-8.38,201.7,
-8.32,203,
-8.46,204.4,
-8.45,205.5,
-8.35,206.5,
-8.78,208.1,
-7.62,214.1,
-7.47,216.8,
-8.12,218.5,
-7.89,223,
-8.08,224.2,
-7.57,226.3,
-7.59,227.3,
-7.48,234.2,
-7.57,235.8,
-8.03,237.6,
-7.84,258.4,
-7.55,259.8,
-7.57,261.9,
-7.28,263.9,
-7.42,268.8,
-7.68,271.5,
-7.35,272.8,
-7.26,278.9,
-7.35,280.1,
-7.01,282.7,
-6.91,285.5,
-7.05,287.5,
-7.22,288.9,
-7.12,289.9,
-7.29,290.9,
-7.28,292.1,
-7.23,293.4,
-7.36,295.7,
-7.18,299.7,
-7.13,312.2,
-7.02,314.4,
-7.2,316,
-7.08,318.5,
-7.27,319.5,
-7.22,321.9,
-7.42,323.6,
-7.17,324.9,
-7.11,329.2,
-7.22,330.4,
-7.23,331.8,
-7.16,332.7,
-7.41,333.9,
-7.31,335.8,
-7.49,337.1,
-7.46,339.8,
-7.35,344.5,
-4.6,361.9,
-7.25,362.9,
-7.35,365.7,
-6.9,367,
-7.09,368.6,
-7.45,370.8,
-7.24,373.1,
-7.35,377.9,
-7.33,378.8,
-7.46,381.1,
-7.49,384,
-7.4,385.3,
-7.05,387.6,
-7.25,388.7,
-7.25,392.3,
-7.12,395.1,
-7.39,399,
-7.32,400,
-7.18,401.4,
-7.32,403.2,
-7.48,405.3,
-6.75,407.2,
-7.33,409.9,
-7.42,415.6,
-7.43,416.3,
-7.12,418.9,
-7.38,420.4,
-7.43,424.5,
-7.25,427.4,
-7.23,428.6,
-7.22,431.3,
-7.37,432.4,
-7.48,433.9,
-7.36,438.3,
-7.24,441.8,
-7.11,447.1,
-7.08,453.4,
-7.28,456.6,
-7.23,475.5,
-7.07,477.5,
-7.54,479.4,
-7.45,482.9,
-7.31,485.5,
-7.35,498.9,
-7.24,501.7,
-7.24,504,
-7.2,505.4,
-7.28,508.1,
-7.4,516.5,
-7.49,518.9,
-7.99,522.3,
-6.74,533.9,
-7.81,537.9,
-7.33,540.9,
-7.47,541.9,
-7.34,563.7,
-7.23,544.3,
-7.34,545.3,
-7.21,546.8,
-7.63,548.3,
-7.45,551.4,
-7.49,558,
-7.25,563.1,
-7.4,564.9,
-7.28,565.6,
-7.24,571,
-7.82,627.5,
-7.59,629.4,
-7.53,633.5,
-7.14,635,
-7.43,636.1,
-7.68,637.9,
-7.29,639,
-7.05,641.9,
-6.99,643.4,
-7.06,645,
-7.03,647.4,
-6.67,648.6,
-7.05,649.6,
-7.03,650.6,
-6.93,651.8,
-6.76,653,
-6.83,653.9,
-6.48,654.9,
-6.6,656.1,
-6.55,657.3,
-6.78,661.4,
-6.25,662.4,
-6.7,663.5,
-6.38,665,
-6.66,666.1,
-6.49,667.3,
-6.12,668.3,
-6.29,669.4,
-6.45,671.1,
-6.79,673.3,
-6.04,674.5,
-6.15,676.1,
-6.13,676.9,
-6.18,678,
-5.98,679,
-6.23,680,
-6.34,681,
-5.86,682.1,
-6.28,684.1,
-6.3,685.3,
-6.22,686.5,
-6.22,687.8,
-6.32,689,
-6.54,689.9,
-6.19,693.1,
-6.01,694.4,
-6.21,695.6,
-6.33,696.6,
-5.98,700.8,
-6.19,701.8,
-6.32,703.3,
-6.04,705.8,
-5.88,707.1,
-5.86,708.1,
-6.25,709.2,
-6.15,710.4,
-6.22,712.7,
-6.13,713.7,
-5.87,714.9,
-5.92,716,
-6.12,717.1,
-5.98,718.2,
-5.83,719.2,
-5.77,720.4,
-5.98,721.4,
-6.18,722.4,
-5.79,725.1,
-5.96,726.1,
-6.4,727.3,
-6.31,728.9,
-5.66,730.1,
-6.07,731.4,
-6.18,735,
-5.26,736.2,
-5.31,737.3,
-5.25,738.3,
-5.68,739.3,
-5.66,740.5,
-5.48,741.6,
-5.43,742.9,
-5.48,744,
-5.03,745.4,
-5.35,746.4,
-5.32,747.8,
-4.95,749.3,
-4.8,750.3,
-4.97,752.4,
-5.01,754.4,
-4.56,755.4,
-4.65,756.4,
-4.52,757.4,
-4.64,758.4,
-4.29,759.3,
-4.47,760.3,
-4.54,761.3,
-4.64,762.3,
-4.49,762.9,
-4.57,763.9,
-3.98,765.2,
-4.23,766.2,
-3.96,767.2,
-3.94,768.7,
-3.96,770.1,
-3.87,771,
-3.94,773.5,
-4.03,774.8,
-4.06,776.7,
-3.8,778.4,
-3.85,779.7,
-3.41,783.3,
-3.63,784.8,
-3.16,787.3,
-2.77,788.6,
-2.53,790,
-2.61,791,
-2.18,792.3,
-0.95,798.8,
-0.63,801.6,
-0.89,803.4,
2.47,832.5,
2.98,834,
1.48,835,
4.01,836.2,
3,837.2,
3.16,840.5,
3.9,841.7,
3.93,842.8,
4.84,843.7,
3.94,844.7,
4.61,846,
4.54,838.5,
3.84,848.6,
2.19,849.5,
1.81,876,
1.81,877,
2.94,878.3,
1.78,881,
2.56,882,
2.46,883,
2.22,884,
0.24,885.2,
-4.55,886.7,
0.51,888,
2.46,891.8,
2.9,893.2,
1.65,894.7,