d13c,m,,d13c,m
2.17,0,,1.99,0
2,1.5,,1.98,2
1.98,3,,2.23,4
2.14,4.5,,1.94,6
1.98,6,,1.33,7
0.41,7,,-0.94,8
0.53,7.5,,1.13,9
1,8,,1.21,9.1
0.04,8.5,,1.13,9.2
0.31,9,,1.09,9.25
0.05,9.5,,0.83,9.5
0.28,10,,1.19,10
-0.43,10.5,,0.46,10.1
-0.1,11,,0.94,10.3
-0.08,11.5,,0.87,10.5
-0.04,12,,0.75,10.7
0.24,12.5,,0.68,11
-0.29,13,,0.74,11.5
-0.81,13.5,,0.49,12
-2.7,14.2,,0.7,12.2
-3.13,15,,0.69,12.4
-3.23,15.5,,0.64,12.5
-3.56,16,,0.72,12.6
-1.97,16.5,,0.2,13
-2.39,17,,0.09,13.3
-2.76,17.5,,-0.42,13.5
-2.61,18,,-0.98,13.8
-2.75,18.5,,-1.07,14
-2.97,19,,-1.48,14.2
-2.88,19.5,,-1.25,14.5
-2.44,20,,-2.46,15
-1.83,20.7,,-2.47,15.3
-0.12,21.1,,-3.44,15.6
1.71,21.5,,-3.58,16
2.6,22,,-4.17,16.7
2.48,22.3,,-3.94,17
1.61,23,,-2.89,17.3
2.33,23.1,,-4.03,17.7
3.32,23.3,,-3.99,18
1.83,23.5,,-4.09,18.3
0.36,24,,-2.99,18.5
0.23,25.5,,-2.7,18.8
1.83,26,,-3.96,19.2
1.76,26.1,,-4.26,19.6
1.9,26.5,,-3.93,20
1.84,26.6,,-4.09,20.4
1.34,27,,-3.65,20.8
1.77,27.5,,-3.74,21.7
1.71,27.6,,-3.43,22
1.88,28,,-3.3,22.8
1.77,29,,-3.07,23
1.55,29.1,,-2.5,24.6
0.33,30,,-1.58,25
1.54,30.2,,-1.64,25.6
1.09,31,,-0.56,26
0.63,31.5,,1.65,26.5
0.71,31.6,,2.64,27
0.8,32,,3.13,27.5
-0.75,32.9,,2.33,28
1.87,33,,1.08,28.4
-1.65,33.9,,2.43,28.5
0.47,34,,1.8,28.9
0.7,34.9,,2.97,29
0.78,35,,1.57,29.4
0.47,36,,2.26,29.7
0.71,37,,1.99,30
1.77,38,,2.65,30.3
-0.11,38.8,,2.19,30.8
0.1,39,,1.69,30.9
0.31,41,,3.16,31
1.75,42,,2.21,31.5
1.65,42.5,,1.76,32
1.98,43,,3.43,32.5
2.23,44,,3.46,32.6
0.8,44.8,,3.44,33.5
2.07,45,,0.87,33.8
-0.39,46,,2.62,34
2.05,47,,0.8,34.4
-2.11,47.8,,1.49,35
0.16,48,,3.28,35.5
0.14,49,,2.99,36.5
1.13,50,,1.63,37
0.81,51,,2.3,37.1
0.7,52,,3.03,37.5
-0.43,53,,2.53,38
-1.86,54,,3.47,39
-0.21,54.2,,0.13,40
-1.41,55,,2.52,40.5
0.3,56.5,,2.21,41
-6.01,57,,2.53,41.5
-3.58,58,,0.45,42
-4.56,59.8,,0.39,42.5
-4.13,61.2,,-2.73,43
,,,-0.02,43.3
,,,-2,45
,,,-9.76,45.6
,,,-2.46,46.5
,,,-2,46.6
,,,-2.27,48
,,,-2.04,48.5
,,,-3.02,50
,,,-2.31,50.5
,,,-2.74,52
,,,-2.05,54
,,,-2.58,54.5
,,,-8.28,56
,,,-1.93,57
,,,-2.25,59
,,,-2.14,59.5
,,,-0.32,61