d13c,m
2.54,0
3.03,3
2.87,5
3.18,7
2.47,9
0.91,10
0.85,12
0.71,13
-0.32,14
0.64,15
0.31,16
0.18,16.5
0.22,17
0.29,17.5
-0.09,18
0.4,18.5
0.32,19
0.64,19.1
0.29,19.4
0.56,19.7
0.07,20
0.86,20.3
0.29,20.9
0.35,21.2
-0.4,21.5
-0.28,21.8
-0.04,22.1
-0.4,22.5
-0.71,22.8
-0.73,23.1
-0.66,23.3
-0.97,23.6
-0.58,23.9
-0.59,24.5
-1.05,25.5
-1.03,26
-1.62,26.3
-1.94,26.6
-1.5,26.9
-1.21,27.2
-1.46,27.5
-1.19,27.8
-2.3,28.1
-3.91,28.5
-4.32,29
-4.4,30
-4.1,30.5
-5.22,31
-5.36,31.5
-5.23,32
-4.61,33
-4.88,33.5
-4.67,34
-4.37,35.3
-3.11,37
-2.49,37.3
3.77,39
3.55,40
4.3,40.5
3.71,41
3.83,41.5
3.43,42
1.76,43
3.35,44
3.75,45
3.59,46
3.74,47
3.51,48
3.62,49
1.63,50
2.49,51
4.09,52
4,53
3.6,53.5
3.39,54.5
3.57,55
3.84,55.1
3.91,55.5
3.72,56
3.79,56.5
4.02,57
4.3,57.5
2.83,57.8
4.28,58
3.77,58.2
3.67,58.5
2.02,59
3.8,59.5
3.46,59.8
1.74,60
2.76,60.3
3.76,60.5
3.52,60.8
3.01,61.2
3.24,61.6
-0.99,62
-4.65,62.4
-3.88,63.2
-4.46,64
-2.02,65
-3.46,66.9
-2.02,67
-1.74,67.84
-1.32,70.4
-1.37,71
-0.21,73.2
-0.53,75
0.39,75.6
-0.13,82
0.13,82.3
-0.22,85
-0.14,89.3